TimeCreated,EventID,Level,Source,SubjectUserName,TargetUserName,IpAddress,IpPort,LogonType,WorkstationName,Description
2026-03-14 06:00:05,4624,Information,Microsoft-Windows-Security-Auditing,SYSTEM,alice,10.0.0.10,51200,3,WORKSTATION-01,An account was successfully logged on
2026-03-14 06:05:22,4624,Information,Microsoft-Windows-Security-Auditing,SYSTEM,bob,10.0.0.12,51300,3,WORKSTATION-02,An account was successfully logged on
2026-03-14 06:10:00,4672,Information,Microsoft-Windows-Security-Auditing,SYSTEM,alice,10.0.0.10,51200,3,WORKSTATION-01,Special privileges assigned to new logon
2026-03-14 06:15:44,4624,Information,Microsoft-Windows-Security-Auditing,SYSTEM,devops,10.0.0.5,51400,3,SERVER-01,An account was successfully logged on
2026-03-14 06:20:11,4625,Warning,Microsoft-Windows-Security-Auditing,SYSTEM,administrator,45.33.32.156,43100,3,-,An account failed to log on
2026-03-14 06:25:33,4624,Information,Microsoft-Windows-Security-Auditing,SYSTEM,carol,10.0.0.20,51500,3,WORKSTATION-03,An account was successfully logged on
2026-03-14 06:30:00,4648,Information,Microsoft-Windows-Security-Auditing,alice,devops,10.0.0.10,51600,3,WORKSTATION-01,A logon was attempted using explicit credentials
2026-03-14 06:35:17,4634,Information,Microsoft-Windows-Security-Auditing,SYSTEM,bob,10.0.0.12,51300,3,WORKSTATION-02,An account was logged off
2026-03-14 06:40:22,4624,Information,Microsoft-Windows-Security-Auditing,SYSTEM,bob,10.0.0.12,51700,3,WORKSTATION-02,An account was successfully logged on
2026-03-14 06:45:00,4625,Warning,Microsoft-Windows-Security-Auditing,SYSTEM,administrator,89.248.167.131,33821,3,-,An account failed to log on
2026-03-14 06:50:11,4776,Information,Microsoft-Windows-Security-Auditing,SYSTEM,dave,10.0.0.22,51800,3,WORKSTATION-04,The domain controller attempted to validate credentials
2026-03-14 06:55:33,4624,Information,Microsoft-Windows-Security-Auditing,SYSTEM,dave,10.0.0.22,51800,3,WORKSTATION-04,An account was successfully logged on
2026-03-14 07:00:05,4624,Information,Microsoft-Windows-Security-Auditing,SYSTEM,alice,10.0.0.10,51900,3,WORKSTATION-01,An account was successfully logged on
2026-03-14 07:05:22,4672,Information,Microsoft-Windows-Security-Auditing,SYSTEM,devops,10.0.0.5,51400,3,SERVER-01,Special privileges assigned to new logon
2026-03-14 07:10:44,4720,Information,Microsoft-Windows-Security-Auditing,devops,svc_deploy,10.0.0.5,51400,3,SERVER-01,A user account was created
